Denominación,ER Referencia eroski,ER Area,ER sec,ER cat,ER subcat,ER segmento,ER Producto,ER Marca,ER Referencia eroski,ER Formato,ER Gramaje,ER Gramaje en miles,ER Unidades,ER Unidad medida,ER Origen,ER Variedad,ER Calibre,PVP tarifa eroski,PVP oferta eroski tienda,ER Precio/kg o precio/unidad,ER Precio/kg o precio/unidad oferta,ER Código ean,Venta media Eroski,ER Tipo de promoción,PVP oferta eroski HORECA,PVP oferta eroski HORECA PRECIO/KG,ER Oferta HORECA,Distance,Ref competidor,Den competidor,Marca competidor,Cod ean del competidor,Formato,Gramaje,Unidad de medida,Gramaje unitario en miles,Unidades,Gramaje total,Origen,Variedad,Calibre,PVP tarifa competidor,PVP oferta 1 competidor,PVP oferta 2 competidor,Precio/kg o precio/unidad,Precio/kg o precio/unidad oferta 1,Precio/kg o precio/unidad oferta 2,Tipo de promo 1 en %,Tipo de promo,dif bruto del mejor precio (nuestro vs competencia) incl HORECA,dif bruto del mejor precio (nuestro vs competencia) sin dto HORECA,dIf porcentual mejor precio sin Horeka,dif porcentual del mejor precio (nuestro vs competencia) incl HORECA,dif porcentual de tarifa (nuestra tarifa vs tarifa competencia),dif porcentual del mes anterior (dato del mes anterior),dif media del registro historico de meses anteriores
"Vermouth Rosso MARTINI, pack 4x6 cl",22384697,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,25-VERMOUTH,3-VERMOUTH BLANCO,"Vermouth Rosso MARTINI, pack 4x6 cl",MARTINI,22384697,PACK,"0,24",240,1,L,,,,"3,45",,"14,38",,,"0,5",,"2,93","12,22",15%," 'distance': 0,960714221000671",181045,MARTINI ROSSO vermut rojo 6cl contiene 4 unidades,MARTINI,,CAJA/CAJON,"0,06",L,60,4,240,,,,"3,5",,,"14,58",,,,,"-2,36","-0,21",-1%,-19%,-1%,10%,64%
"Cubo de basura con pedal DECOBIN 2 en 1, CURVER, 25 litros",13286943,4-BAZAR,20-MENAJE,5-ACCESORIOS CASA,1-LIMPIEZA,15-CUBOS BASURA,"Cubo de basura con pedal DECOBIN 2 en 1, CURVER, 25 litros",CURVER,13286943,UNIDAD,25,25000,1,UDS,,,,"21,90",,"21,90",,,"0,26",,,,," 'distance': 3,172757148742676",156249,'curver cubo con pedal essencials 40 L',CURVER,,UNIDAD,"1,00",UDS,1000,40,40000,,,,"23,66",,,"23,66",,,,,"-1,76","-1,76",-8%,-8%,-8%,-8%,57%
"Fiambre maxi pavo EROSKI BASIC, pieza 800 g",24931842,1-FRESCOS,4-CHARCUTERIA,20-COCIDOS PORCION,25-COCIDOS MINI,10-MINI AVE,"Fiambre maxi pavo EROSKI BASIC, pieza 800 g",EROSKI,24931842,PIEZA,"0,8",800,1,KG,,,,"3,59",,"4,49",,,6,,"3,41","4,26",5%," 'distance': 2,201139450073242",149004,makro Chef fiambre magro pavo cocido pieza 4kg,MAKRO CHEF,,PIEZA,"4,00",KG,4000,1,4000,,,,"28,59",,,"7,15",,,,,"-2,88","-2,66",-59%,-68%,-59%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Agua de coco virgen con su carne GENUINE COCONUT, 1 ud, 750 g",25232745,1-FRESCOS,1-FRUTA Y HORTALIZA,8-IV GAMA,55-PREPARADOS DE FRUTA,15-ZUMOS FRESCOS,"Agua de coco virgen con su carne GENUINE COCONUT, 1 ud, 750 g",GENUINE COCONUT,25232745,UNIDAD,"0,75",750,1,KG,,,,"2,64",,"3,52",,,6,,,,," 'distance': 0,651827454566956",54144,Genuine coconut contiene 1 ud,Genuine Coconut,,UNIDAD,"0,50",KG,500,1,500,,,,"2,86",,,"5,72",,,,,"-2,20","-2,20",-63%,-63%,-63%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Salsa de yogur EROSKI, bote 300 g",11980521,2-ALIMENTACION,9-COCINA,3-SALSAS,8-SALSAS Y ALIÑOS ENSALADAS,10-SALSAS YOGURT,"Salsa de yogur EROSKI, bote 300 g",EROSKI,11980521,BOTE,"0,3",300,1,KG,,,,"1,20",,"4,00",,,6,,"1,02","3,40",15%," 'distance': 0,956851840019226",87687,"METRO Chef salsa de yogur bidón 1,85l",METRO CHEF,,BIDON,"1,85",L,1850,1,1850,,,,"10,22",,,"5,52",,,,,"-2,12","-1,52",-38%,-62%,-38%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Pitaya, al peso, compra mínima 500 g",17115304,1-FRESCOS,1-FRUTA Y HORTALIZA,1-FRUTA,,,"Pitaya, al peso, compra mínima 500 g",EROSKI,17115304,GRANEL,"0,5",500,1,KG,,,,"6,50",,"13,00",,,3,,"5,85","11,70",10%," 'distance': 0,52275550365448",214924,Pitahaya roja bandeja 500 g,MAKRO,,GRANEL,"0,50",,500,1,500,,,,"9,10",,,"18,20",,,,,"-6,50","-5,20",-40%,-56%,-40%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Croissant relleno de chocolate EROSKI, paquete 315 g",3830189,2-ALIMENTACION,10-DULCE,24-BOLLERIA INDUSTRIAL,1-DESAYUNO,33-CROISSANTS,"Croissant relleno de chocolate EROSKI, paquete 315 g",EROSKI,3830189,PAQUETE,"0,315",315,1,KG,,,,"1,60",,"5,08",,,18,,,,," 'distance': 2,3207218647003174",829426,RIOBA Croissant con chocolate 680g contiene 17 unidades,RIOBA,,BOLSA,"0,68",KG,680,1,680,,,,"5,34",,,"7,85",,,,,"-2,77","-2,77",-55%,-55%,-55%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Salmorejo EROSKI, brik 1 litro",15783947,1-FRESCOS,14-SOLUCIONES CULINARIAS,25-LISTO PARA COMER,11-GAZPACHOS-SOPAS Y CREMAS.,1-GAZPACHOS,"Salmorejo EROSKI, brik 1 litro",EROSKI,15783947,BRIK,1,1000,1,L,,,,"2,25",,"2,25",,,6,,,,," 'distance': 2,822840690612793",208023,METRO Chef salmorejo pet 1L,METRO CHEF,,BOTELLA,1,L,1000,1,1000,,,,"3,58","3,26",,"3,58","3,26",,9%,COMPRA MAS PAGA MENOS,"-1,01","-1,01",-45%,-45%,-59%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Pan rallado EROSKI BASIC, paquete 750 g",11798063,2-ALIMENTACION,9-COCINA,17-HARINAS Y PAN RALLADO,3-PAN RALLADO,1-PAN RALLADO NORMAL,"Pan rallado EROSKI BASIC, paquete 750 g",EROSKI BASIC,11798063,PAQUETE,"0,75",750,1,KG,,,,"0,85",,"1,13",,,10,,"0,68","0,91",20%," 'distance': 1,3918808698654175",102338,METRO Chef pan rallado natural bolsa 750g,METRO CHEF,,PAQUETE,"0,75",KG,750,1,750,,,,"0,94",,,"1,25",,,,,"-0,35","-0,12",-11%,-38%,-11%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Pimiento de piquillo en tiras SERVIHOSTEL, lata 3 kg",16452948,2-ALIMENTACION,8-SALADO,11-PIMIENTOS,7-PIMIENTO PIQUILLO,9-PIMIENTO PIQUILLO LATA,"Pimiento de piquillo en tiras SERVIHOSTEL, lata 3 kg",SERVIHOSTEL,16452948,LATA,3,3000,1,KG,,,,"9,85",,"3,28",,,,,,,," 'distance': 1,3464279174804688",196402,METRO Chef pimientos piquillo en tiras categoría extra lata 1900 gne (2500 g),METRO CHEF,,LATA,"2,5",KG,2500,1,2500,,,,"11,17",,,"4,47",,,,,"-1,19","-1,19",-36%,-36%,-36%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Leche condensada EROSKI, lata 1 kg",24919367,2-ALIMENTACION,8-SALADO,21-LECHES ESPECIALES,3-LECHE¿CONDENSADA¿,1-LECHE CONDENSADA GRANDE,"Leche condensada EROSKI, lata 1 kg",EROSKI,24919367,LATA,1,1000,1,KG,,,,"3,65",,"3,65",,,8,,,,," 'distance': 0,6763405799865723",211020,METRO Chef leche condensada entera 900g,METRO CHEF,,BOTE,"0,9",KG,900,1,900,,,,"4,72","4,25",,"5,24","4,72",,10%,COMPRA MAS PAGA MENOS,"-1,07","-1,07",-29%,-29%,-44%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Rabo de vacuno, bandeja aprox. 700 g",6144455,1-FRESCOS,2-CARNICERIA,61-VACUNO ENVASADO,1-VACUNO TERNERA ENVASADO,3-TERNERA GUISAR ENVASADO,"Rabo de vacuno, bandeja aprox. 700 g",EROSKI,6144455,BANDEJA,"0,7",700,1,KG,,,,"11,17",,"15,96",,,1,,"8,38","11,97",25%," 'distance': 0,281953513622284",127601,Rabo vaca cortado precio Kg,MAKRO,,GRANEL,"3,1",KG,3100,1,3100,,,,"47,709",,,"15,39",,,,,"-3,42","0,57",4%,-29%,4%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Magdalena casera EROSKI, bolsa 600 g",759738,2-ALIMENTACION,10-DULCE,24-BOLLERIA INDUSTRIAL,1-DESAYUNO,30-MAGDALENAS,"Magdalena casera EROSKI, bolsa 600 g",EROSKI,759738,BOLSA,"0,6",600,1,KG,,,,"3,20",,"5,33",,,10,,,,," 'distance': 0,442318767309189",212048,RIOBA magdalenas caseras 700 g contiene 9 unidades,RIOBA,,CAJA/CAJON,"0,7",KG,700,1,700,,,,"4,68",,,"6,69",,,,,"-1,36","-1,36",-25%,-25%,-25%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Arándano rojo deshidratado, al peso, compra mínima 250 g",19142124,1-FRESCOS,1-FRUTA Y HORTALIZA,25-GRANELES,15-FRUTAS DESH. GRANEL,30-ARANDANOS DESHIDRATADOS,"Arándano rojo deshidratado, al peso, compra mínima 250 g",EROSKI,19142124,GRANEL,"0,25",250,1,KG,,,,"2,50",,"10,00",,,6,,,,," 'distance': 1,8283820152282715",112025,"makro Chef arandanos extra, deshidratados, en tarrina de 500 g",MAKRO CHEF,,TARRINA,"0,50",KG,500,1,500,,,,"6,26",,,"12,52",,,,,"-2,52","-2,52",-25%,-25%,-25%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Bonito del norte en aceite de oliva ARROYABE, lata 900 g",16012437,2-ALIMENTACION,8-SALADO,23-CONSERVAS DE PESCADO,7-BONITO,9-BONITO ACEITE,"Bonito del norte en aceite de oliva ARROYABE, lata 900 g",ARROYABE,16012437,LATA,"0,9",900,1,KG,,,,"18,59",,"20,66",,,12,,"16,73","18,59",10%," 'distance': 0,0664859414100647",93118,Arroyabe bonito del norte aceite oliva 1400 gne (1800 g),ARROYABE,,LATA,"1,80",KG,1800,1,1800,,,,"41,57",,,"23,09",,,,,"-4,50","-2,43",-12%,-24%,-12%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Melón Cantaloup, pieza al peso aprox. 1 kg",14510150,1-FRESCOS,1-FRUTA Y HORTALIZA,1-FRUTA,,,"Melón Cantaloup, pieza al peso aprox. 1 kg",EROSKI,14510150,GRANEL,1,1000,1,KG,,,,"2,59",,"2,59",,,,,,,," 'distance': 2,4443857669830322",62419,Melón cantaloup calibre 5 categoría I pieza 1 kg,MAKRO,,PIEZA,1,KG,1000,1,1000,,1,5,"3,17",,,"3,17",,,,,"-0,58","-0,58",-22%,-22%,-22%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Ketchup EROSKI, bote 560 g",26505891,2-ALIMENTACION,9-COCINA,3-SALSAS,5-KETCHUP,3-KETCHUP MAS 400 G,"Ketchup EROSKI, bote 560 g",EROSKI,26505891,BOTE,"0,56",560,1,KG,,,,"1,07",,"1,91",,,12,,"0,91","1,62",15%," 'distance': 2,381664752960205",182490,RIOBA ketchup biberón 840g,RIOBA,,BOTELLA,"0,84",KG,840,1,840,,,,"1,82","1,66",,"2,17","1,97",,9%,COMPRA MAS PAGA MENOS,"-0,35","-0,06",-3%,-21%,-13%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Limón, malla 1 kg",10935534,1-FRESCOS,1-FRUTA Y HORTALIZA,1-FRUTA,33-CITRICOS,25-LIMONES,"Limón, malla 1 kg",EROSKI,10935534,MALLA,1,1000,1,KG,,,,"2,30",,"2,30",,,12,,"1,73","1,73",25%," 'distance': 1,8768715858459473",220770,"METRO Chef limón calibre 4-5 bolsa 1,5 kg",METRO CHEF,,BOLSA,"1,5",KG,1500,1,1500,,,4,"3,32","3,02",,"2,21","2,01",,9%,COMPRA MAS PAGA MENOS,"-0,29","0,29",12%,-17%,4%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Atún claro en aceite de girasol EROSKI, pack 6x70 g",25807108,2-ALIMENTACION,8-SALADO,#ERROR!,1-ATUN CLARO,20-ATUN CLARO EN ACEITE GIRASOL,"Atún claro en aceite de girasol EROSKI, pack 6x70 g",EROSKI,25807108,PACK,"0,42",420,1,KG,,,,"4,30",,"10,24",,,,,,,," 'distance': 1,331534743309021",371384,METRO Chef atún claro en aceite girasol lata 1170 gne (1800 g),METRO CHEF,,LATA,"1,8",KG,1800,1,1800,,,,"21,51",,,"11,95",,,,,"-1,71","-1,71",-17%,-17%,-17%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Harina de fuerza EROSKI, paquete 1 kg",20153292,2-ALIMENTACION,9-COCINA,17-HARINAS Y PAN RALLADO,1-HARINAS,8-HARINA DE FUERZA,"Harina de fuerza EROSKI, paquete 1 kg",EROSKI,20153292,PAQUETE,1,1000,1,KG,,,,"0,95",,"0,95",,,10,,"0,76","0,76",20%," 'distance': 1,331534743309021",648999,makro Chef harina fuerza bolsa 5kg,MAKRO CHEF,,BOLSA,5,KG,5000,1,5000,,,,"4,42",,,"0,88",,,,,"-0,12","0,07",7%,-16%,7%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Mantequilla ASTURIANA, rulo 500 g",656348,2-ALIMENTACION,5-LACTEOS,14-MANTEQUILLAS Y MARGARINAS,1-MANTEQUILLA,8-MANTEQUILLA RULO Y REPOSTERIA,"Mantequilla ASTURIANA, rulo 500 g",EROSKI,656348,RULO,"0,5",500,1,KG,,,,"6,45",,"12,90",,,12,,"5,48","10,97",15%," 'distance': 0,31264978647232056",283751,Asturiana mantequilla rulo 500 g,ASTURIANA,,RULO,"0,50",KG,500,1,500,,,,"6,37",,,"12,74",,,,,"-1,78","0,16",1%,-16%,1%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Bonito ARROYABE, frasco 400 g",345918,2-ALIMENTACION,8-SALADO,#ERROR!,7-BONITO,9-BONITO ACEITE,"Bonito ARROYABE, frasco 400 g",ARROYABE,345918,FRASCO,"0,4",400,1,KG,,,,"9,99",,"24,98",,,,,,,," 'distance': 3,154599666595459",93127,Arroyabe bonito del norte en aceite oliva frasco 150 gne (227 g),ARROYABE,,FRASCO,"0,227",KG,227,1,227,,,,"6,55",,,"28,85",,,,,"-3,87","-3,87",-16%,-16%,-16%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Salsa César EROSKI, bote 300 g",14880421,2-ALIMENTACION,9-COCINA,3-SALSAS,8-SALSAS Y ALIÑOS ENSALADAS,5-SALSAS CESAR,"Salsa César EROSKI, bote 300 g",EROSKI,14880421,BOTE,"0,3",300,1,KG,,,,"1,40",,"4,67",,,6,,"1,19","3,97",15%," 'distance': 2,457818031311035",116442,"makro Chef salsa césar 1,1kg",MAKRO CHEF,,BOTE,"1,1",KG,1100,1,1100,,,,"5,01",,,"4,55",,,,,"-0,59","0,12",2%,-15%,2%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Salsa de ají nativo GOYA, frasco 200 ml",11750965,2-ALIMENTACION,8-SALADO,39-COMIDAS DEL MUNDO,5-COMIDA AMERICA,30-LATINA Y CRIOLLA,"Salsa de ají nativo GOYA, frasco 200 ml",GOYA,11750965,FRASCO,"0,2",200,1,L,,,,"2,49",,"12,45",,,24,,"1,99","9,96",20%," 'distance': 2,5217788219451904",185407,Goya nativo pasta aji amarillo 213g,GOYA,,TARRO,"0,21",KG,213,1,213,,,,"2,41",,,"11,31",,,,,"-1,35","1,14",9%,-14%,9%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Queso rallado Grana Padano EROSKI SELEQTIA, bolsa 100 g",16036287,2-ALIMENTACION,5-LACTEOS,10-QUESOS,8-QUESO RALLADO,4-QUESO RALLADO POLVO,"Queso rallado Grana Padano EROSKI SELEQTIA, bolsa 100 g",EROSKI SELEQTIA,16036287,UNIDAD,"0,1",100,1,KG,,,,"1,80",,"18,00",,,20,,"1,35","13,50",25%," 'distance': 4,974506855010986",163200,makro Chef queso grana padano Italia rallado bolsa 1 Kg,MAKRO CHEF,,BOLSA,"1,00",KG,1000,1,1000,,,,"17,67","15,20",,"17,67","15,20",,14%,COMPRA MAS PAGA MENOS,"-1,70","2,80",16%,-13%,2%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Bloc de pato MARTIKO, pack 2x40 g",269035,1-FRESCOS,4-CHARCUTERIA,#ERROR!,2-PATES DE PATO/OCA PORCION,10-PATES PATO/OCA PORCI CELEB BLO,"Bloc de pato MARTIKO, pack 2x40 g",MARTIKO,269035,PACK,"0,08",80,1,KG,,,,"6,07",,"75,88",,,,,,,," 'distance': 0,881726861000061",76239,Martiko bloc de pato 50 g contiene 5 unidades (total 250 g),MARTIKO,,PACK,"0,05",KG,50,5,250,,,,"21,29",,,"85,16",,,,,"-9,28","-9,28",-12%,-12%,-12%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Pasta Spaghettini Nº 12 DE CECCO, paquete 500 g",12462420,2-ALIMENTACION,9-COCINA,13-PASTAS,4-GAMA GOURMET,2-PASTA LARGA GOURMET,"Pasta Spaghettini Nº 12 DE CECCO, paquete 500 g",DE CECCO,12462420,PAQUETE,"0,5",500,1,KG,,,,"2,45",,"4,90",,,12,,"2,08","4,17",15%," 'distance': 1,5402992963790894",216920,DE CECCO spaghetti nº12 paquete 1 kg,DE CECCO,,PAQUETE,"1,00",KG,1000,1,1000,,,,"4,61",,,"4,61",,,,,"-0,45","0,29",6%,-11%,6%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Pincho de pechuga de pollo adobado rojo, unidad",19674225,1-FRESCOS,2-CARNICERIA,75-VITRINA,36-ELABORADOS BARBACOA VITRINA,5-BARBACOA VITRINA,"Pincho de pechuga de pollo adobado rojo, unidad",EROSKI,19674225,UNIDAD,"0,1",100,1,KG,,,,"0,95",,"9,50",,,1,,,,," 'distance': 0,6978671550750732",98692,Pincho moruno pollo bandeja precio Kg,MAKRO,,GRANEL,"1,5",KG,1500,1,1500,,,,"15,765",,,"10,51",,,,,"-1,01","-1,01",-11%,-11%,-11%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Langostino cocido calibre 40/50 EROSKI, bandeja 450 g",16478836,1-FRESCOS,7-PESCADERIA,13-PESCADO FRESCO ENVASADO,30-MARISCO PFE,5-LANGOSTINO COCIDO GRANDE PFE,"Langostino cocido calibre 40/50 EROSKI, bandeja 450 g",EROSKI,16478836,BANDEJA,"0,45",450,1,KG,,,,"5,35",,"11,89",,,1,,"4,01","8,92",25%," 'distance': 0,542556166648865",211307,"Langostino Vanna de Cría, cocido 40-60 piezas/ kilo",MAKRO,,GRANEL,"1,00",KG,1000,1,1000,,,,"9,85",,,"9,85",,,,,"-0,93","2,04",17%,-10%,17%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Salsa calçots FERRER, frasco 320 g",3355344,2-ALIMENTACION,9-COCINA,#ERROR!,9-SALSAS ESPECIALES,41-SALSAS REGIONALES,"Salsa calçots FERRER, frasco 320 g",FERRER,3355344,FRASCO,"0,32",320,1,KG,,,,"2,79",,"8,72",,,,,"2,37","7,41",15%," 'distance': 0,925891578197479",221703,FERRER salsa calçots frasco de 645 gramos,FERRER,,FRASCO,"0,645",KG,645,1,645,,,,"5,16",,,"8,00",,,,,"-0,59","0,72",8%,-8%,8%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Queso mascarpone EROSKI, tarrina 250 g",21118179,2-ALIMENTACION,5-LACTEOS,10-QUESOS,1-QUESO FRESCOS,10-MASCARPONES Y TARTAS,"Queso mascarpone EROSKI, tarrina 250 g",EROSKI,21118179,TARRINA,"0,25",250,1,KG,,,,"2,55",,"10,20",,,6,,"1,91","7,65",25%," 'distance': 1,3464279174804688",204410,makro Chef queso mascarpone 35% materia grasa cubo 500 g,MAKRO CHEF,,CUBO,"0,50",KG,500,1,500,,,,"4,57","4,11",,"9,14","8,23",,10%,COMPRA MAS PAGA MENOS,"-0,58","1,97",19%,-8%,10%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Salsa Jalfrezi PATAK`S, frasco 450 g",18413849,2-ALIMENTACION,8-SALADO,#ERROR!,10-COMIDA ASIATICA,10-INDIA Y THAI,"Salsa Jalfrezi PATAK`S, frasco 450 g",PATAK`S,18413849,FRASCO,"0,45",450,1,KG,,,,"4,24",,"9,42",,,,,"3,60","8,01",15%," 'distance': 2,483539581298828",129458,PATAK'S Salsa Jalfrezi bote 450g,PATAK'S,,BOTE,"0,45",KG,450,1,450,,,,"3,84",,,"8,53",,,,,"-0,52","0,89",9%,-7%,9%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Nata para cocinar 1% m.g. SERVIHOSTEL, botella 1,5 litros",15319445,2-ALIMENTACION,5-LACTEOS,12-NATAS-CREMAS,1-NATA COCINA,9-NATA COCINAR MÁS DE  200 ML,"Nata para cocinar 1% m.g. SERVIHOSTEL, botella 1,5 litros",SERVIHOSTEL,15319445,BOTELLA,"1,5",1500,1,KG,,,,"4,24",,"2,83",,,,,,,," 'distance': 0,752173125743866",78337,"METRO Chef nata ligera para cocinar 15% materia grasa botella 1,5 L",METRO CHEF,,BOTELLA,"1,5",L,1500,1,1500,,,,"4,50",,,"3,00",,,,,"-0,17","-0,17",-6%,-6%,-6%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Espetec TARRADELLAS, pieza 180 g",11143757,1-FRESCOS,4-CHARCUTERIA,8-CARNICOS PIEZA,2-EMBUTIDOS PIEZA,14-FUET,"Espetec TARRADELLAS, pieza 180 g",TARRADELLAS,11143757,PIEZA,"0,18",180,1,KG,,,,"2,49",,"13,83",,,24,,"2,37","13,14",5%," 'distance': 1,3274083137512207",211661,Casa Tarradellas espetec 180 g 2 unidades (Total 360 g),TARRADELLAS,,PIEZA,"0,36",KG,360,1,360,,,,"4,94",,,"13,72",,,,,"-0,58","0,11",1%,-4%,1%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Cuajada DANONE, pack 2x135 g",215681,2-ALIMENTACION,5-LACTEOS,#ERROR!,5-POSTRES BASICOS,80-CUAJADA,"Cuajada DANONE, pack 2x135 g",DANONE,215681,PACK,"0,27",270,1,KG,,,,"1,50",,"5,56",,,,,,,," 'distance': 0,2970881462097168",521820,DANONe cuajada 135 g contiene 2 unidades,DANONE,,PACK,"0,135",KG,135,2,270,,,,"1,53",,,"5,67",,,,,"-0,11","-0,11",-2%,-2%,-2%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Pomelo, al peso, compra mínima 1,11 kg / 3 uds",6304,1-FRESCOS,1-FRUTA Y HORTALIZA,1-FRUTA,33-CITRICOS,30-OTROS CITRICOS,"Pomelo, al peso, compra mínima 1,11 kg / 3 uds",EROSKI,6304,MALLA,"1,11",1110,1,KG,,,,"2,94",,"2,65",,,"7,5",,"2,65","2,38",10%," 'distance': 0,554364800453186",664274,"METRO Chef Pomelo rojo calibre 5/6 malla 1,75kg",METRO CHEF,,MALLA,"1,75",KG,1750,1,1750,,,5,"4,25",,,"2,43",,,,,"-0,04","0,22",8%,-2%,8%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Queso Brie EROSKI, cuña 200 g",6818090,1-FRESCOS,4-CHARCUTERIA,3-QUESOS PORCION,21-QUESOS INTERNACIONALES PORCIÓN,5-PASTA BLANDA PORCIÓN,"Queso Brie EROSKI, cuña 200 g",EROSKI,6818090,CUÑA,"0,2",200,1,KG,,,,"1,72",,"8,60",,,16,,"1,55","7,74",10%," 'distance': 1,813779354095459",104565,METRO Chef queso brie,METRO CHEF,,GRANEL,"3,00",KG,3000,1,3000,,,,"26,04","23,44",,"8,68","7,81",,10%,COMPRA MAS PAGA MENOS,"-0,07","0,79",9%,-1%,-1%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Pimiento de piquillo extra SERVIHOSTEL, frasco 940 g",16027385,2-ALIMENTACION,8-SALADO,11-PIMIENTOS,7-PIMIENTO PIQUILLO,9-PIMIENTO PIQUILLO LATA,"Pimiento de piquillo extra SERVIHOSTEL, frasco 940 g",SERVIHOSTEL,16027385,FRASCO,"0,94",940,1,KG,,,,"5,16",,"5,49",,,,,,,," 'distance': 2,0555760860443115",196406,METRO Chef pimientos piquillo enteros categoría extra lata 60-80 piezas 1900 gne (2500 g),METRO CHEF,,LATA,"2,5",KG,2500,1,2500,,,,"13,74",,,"5,50",,,,,"-0,01","-0,01",0%,0%,0%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Lomo de salmón ahumado EROSKI SELEQTIA, bandeja 150 g",15705536,1-FRESCOS,7-PESCADERIA,12-ESPECIALIDADES,25-AHUMADOS,15-SALMON OTROS CORTES,"Lomo de salmón ahumado EROSKI SELEQTIA, bandeja 150 g",EROSKI SELEQTIA,15705536,BANDEJA,"0,15",150,1,KG,,,,"10,75",,"71,67",,,1,,"8,06","53,75",25%," 'distance': 3,4501962661743164",190264,METRO Premium lomo salmón ahumado 350g,METRO PREMIUM,,BANDEJA,"0,35",KG,350,1,350,,,,"21,73","18,69",,"62,09","53,39",,14%,COMPRA MAS PAGA MENOS,"0,36","18,28",26%,1%,13%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Gazpacho fresco Eroski SELEQTIA, botella 1 litro",21975537,1-FRESCOS,14-SOLUCIONES CULINARIAS,25-LISTO PARA COMER,,,"Gazpacho fresco Eroski SELEQTIA, botella 1 litro",EROSKI SELEQTIA,21975537,BOTELLA,1,1000,1,L,,,,"2,85",,"2,85",,,#N/A,,,,," 'distance': 1,884126901626587",208024,METRO Chef gazpacho pet 1L,METRO CHEF,,BOTELLA,1,L,1000,1,1000,,,,"3,07","2,76",,"3,07","2,76",,10%,COMPRA MAS PAGA MENOS,"0,09","0,09",3%,3%,-8%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Corazón alcachofa al natural 10/12 frutos EROSKI, lata 240 g",2179323,2-ALIMENTACION,8-SALADO,13-CONSERVAS VEGETALES,17-ALCACHOFAS,1-ALCACHOFA LATA,"Corazón alcachofa al natural 10/12 frutos EROSKI, lata 240 g",EROSKI,2179323,LATA,"0,24",240,1,KG,,,,"1,85",,"7,71",,,6,,,,," 'distance': 0,504034101963043",126915,aro corazones de alcachofa 10/12 240 gne contiene 3 unidades (340 g),ARO,,LATA,"0,34",KG,340,3,1020,,,,"7,47",,,"7,32",,,,,"0,39","0,39",5%,5%,5%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
"Salsa Brava EROSKI, bote 330 g",12451464,2-ALIMENTACION,9-COCINA,3-SALSAS,9-SALSAS ESPECIALES,26-SALSAS BRAVA,"Salsa Brava EROSKI, bote 330 g",EROSKI,12451464,BOTE,"0,33",330,1,KG,,,,"1,95",,"5,91",,,12,,"1,66","5,02",15%," 'distance': 2,158860445022583",186876,RIOBA salsa brava biberón 300g,RIOBA,,BOTELLA,"0,3",KG,300,1,300,,,,"1,64","1,43",,"5,47","4,76",,13%,COMPRA MAS PAGA MENOS,"0,27","1,15",20%,5%,8%,MATCH NUEVO JUNIO,MATCH NUEVO JUNIO
